customer_id,tenure_months,monthly_charges,usage_minutes,support_calls,payment_delay_days,contract_type,autopay,num_services,satisfaction_score,signup_channel,marketing_segment,favorite_color,lucky_number,churn
CUST111750,57,126.14,698,4,7.8,one-year,0,3,8.8,referral,C,blue,77,0
CUST111751,36,51.66,273,3,6.5,one-year,1,5,6.3,organic,A,white,68,0
CUST111752,30,74.27,679,2,9.2,month-to-month,0,1,5.4,ads,B,red,56,1
CUST111753,46,21.66,297,8,5.0,month-to-month,0,5,8.4,organic,B,blue,22,1
CUST111754,14,112.59,62,2,0.1,month-to-month,1,4,4.5,referral,A,yellow,24,0
CUST111755,42,127.93,528,2,0.0,two-year,1,1,9.9,ads,A,black,58,0
CUST111756,25,21.94,472,7,4.5,one-year,1,3,6.7,organic,C,blue,77,0
CUST111757,68,56.64,343,2,0.0,two-year,1,3,7.9,ads,B,red,37,0
CUST111758,40,86.75,607,1,0.6,one-year,1,3,6.9,referral,C,black,58,0
CUST111759,34,39.35,71,5,4.9,month-to-month,1,4,5.9,referral,A,white,45,0
CUST111760,18,32.67,538,4,0.0,two-year,1,2,5.0,referral,B,red,94,0
CUST111761,45,91.42,258,2,7.4,two-year,1,3,7.3,organic,C,blue,19,0
CUST111762,7,132.92,573,2,16.7,one-year,1,1,4.0,ads,B,white,37,0
CUST111763,41,118.25,271,2,6.5,month-to-month,1,3,6.3,referral,B,black,89,0
CUST111764,18,71.31,325,3,3.0,month-to-month,0,3,5.9,referral,B,blue,8,1
CUST111765,47,53.39,286,2,0.0,one-year,1,4,8.0,referral,A,yellow,67,0
CUST111766,27,135.64,447,2,3.3,one-year,1,3,7.2,organic,B,red,38,0
CUST111767,5,120.79,399,5,8.4,one-year,0,1,2.9,organic,A,white,49,0
CUST111768,16,125.16,294,1,8.0,month-to-month,1,3,6.1,ads,C,yellow,71,1
CUST111769,5,139.24,227,2,9.0,month-to-month,0,3,1.3,ads,B,white,24,1
CUST111770,10,136.31,437,8,14.8,month-to-month,0,3,3.3,ads,A,white,98,1
CUST111771,47,74.81,197,2,4.0,one-year,1,1,7.9,partner,A,blue,15,0
CUST111772,47,120.25,541,3,6.4,one-year,1,3,8.4,organic,B,blue,39,0
CUST111773,46,140.5,447,3,2.5,month-to-month,1,5,7.5,organic,A,blue,97,0
CUST111774,40,30.51,387,2,0.0,one-year,1,3,9.4,referral,A,white,92,0
CUST111775,44,119.91,669,2,11.1,month-to-month,0,4,5.6,ads,A,yellow,87,1
CUST111776,12,106.28,294,4,17.0,month-to-month,0,1,3.1,ads,B,blue,54,1
CUST111777,42,92.12,453,4,5.4,one-year,0,2,4.4,ads,C,green,24,0
CUST111778,29,102.23,513,5,2.9,month-to-month,0,1,5.5,organic,A,blue,2,1
CUST111779,32,146.95,460,1,8.4,one-year,1,3,3.9,ads,C,red,94,0
CUST111780,32,133.95,202,4,2.8,month-to-month,0,2,6.2,ads,C,red,56,0
CUST111781,35,147.91,318,5,6.0,month-to-month,0,4,4.7,ads,C,black,91,0
CUST111782,14,115.89,184,1,9.8,month-to-month,1,3,4.5,partner,A,red,69,1
CUST111783,43,21.27,448,2,2.3,month-to-month,1,2,5.9,ads,C,white,45,0
CUST111784,10,64.65,450,7,4.5,month-to-month,1,3,5.6,partner,A,black,84,1
CUST111785,12,31.25,380,6,3.0,month-to-month,0,2,7.6,organic,C,black,58,1
CUST111786,14,84.32,371,4,5.2,month-to-month,0,4,5.2,ads,B,blue,14,0
CUST111787,65,48.56,392,1,2.9,two-year,0,1,8.0,organic,B,red,47,0
CUST111788,53,55.24,339,1,0.3,one-year,0,6,9.8,partner,A,white,91,0
CUST111789,46,33.98,277,2,4.4,one-year,1,4,10.0,ads,C,yellow,53,0
CUST111790,2,104.42,544,3,8.1,month-to-month,0,4,2.4,ads,B,black,87,1
CUST111791,55,139.38,324,1,0.0,month-to-month,1,5,8.8,referral,A,green,56,0
CUST111792,40,107.01,494,0,0.0,one-year,0,3,6.7,referral,B,blue,65,0
CUST111793,23,105.51,279,4,7.9,one-year,1,1,6.5,organic,C,green,49,0
CUST111794,46,139.33,310,1,0.0,month-to-month,0,3,7.3,referral,C,yellow,5,0
CUST111795,36,69.43,547,4,3.1,month-to-month,0,3,5.5,organic,A,black,70,1
CUST111796,22,136.26,404,4,14.7,month-to-month,0,1,4.0,organic,A,yellow,39,1
CUST111797,36,111.27,316,4,4.7,month-to-month,0,5,4.5,partner,A,white,28,0
CUST111798,33,30.6,440,0,0.0,two-year,1,4,5.9,referral,A,green,16,0
CUST111799,18,112.01,584,5,9.4,month-to-month,0,5,6.8,organic,C,blue,47,1
