customer_id,tenure_months,monthly_charges,usage_minutes,support_calls,payment_delay_days,contract_type,autopay,num_services,satisfaction_score,signup_channel,marketing_segment,favorite_color,lucky_number,churn
CUST111350,46,131.15,412,2,9.3,month-to-month,1,1,1.6,ads,C,green,61,0
CUST111351,22,44.12,517,4,3.9,month-to-month,0,3,7.5,ads,B,white,79,1
CUST111352,72,59.79,280,0,0.0,two-year,1,3,7.9,ads,B,red,52,0
CUST111353,64,123.65,510,1,2.2,two-year,1,2,9.2,referral,C,red,5,0
CUST111354,68,69.34,407,1,2.5,month-to-month,1,4,8.9,organic,C,green,75,0
CUST111355,72,65.92,664,1,0.0,month-to-month,1,4,6.6,referral,A,blue,30,0
CUST111356,58,103.08,433,4,0.1,two-year,0,4,7.7,referral,C,blue,17,0
CUST111357,57,93.16,286,1,8.7,month-to-month,0,3,5.6,referral,B,yellow,2,0
CUST111358,8,48.4,524,4,8.3,month-to-month,0,3,5.6,partner,C,blue,91,1
CUST111359,22,52.55,309,2,1.6,one-year,0,2,4.7,partner,B,white,83,0
CUST111360,57,82.19,302,1,0.0,two-year,1,2,8.7,organic,B,yellow,50,0
CUST111361,3,88.0,361,1,5.8,one-year,0,3,5.6,ads,A,white,37,0
CUST111362,35,101.55,387,5,7.7,month-to-month,0,1,3.2,referral,A,white,85,1
CUST111363,5,124.09,434,1,0.0,month-to-month,0,2,4.2,ads,A,white,80,0
CUST111364,51,141.83,294,3,4.2,month-to-month,0,3,7.5,organic,B,yellow,14,0
CUST111365,39,115.76,355,1,0.0,one-year,1,3,6.7,partner,A,blue,43,0
CUST111366,32,120.1,342,4,5.3,one-year,0,4,7.6,organic,C,red,84,1
CUST111367,45,138.57,464,2,4.7,two-year,1,3,8.1,referral,C,yellow,43,0
CUST111368,1,58.11,293,5,2.7,month-to-month,1,1,6.9,ads,A,black,66,0
CUST111369,70,92.15,213,3,0.0,two-year,1,3,6.7,organic,B,yellow,37,0
CUST111370,47,137.02,278,2,5.4,month-to-month,0,1,8.0,organic,B,red,78,0
CUST111371,9,99.46,361,5,4.9,month-to-month,0,2,4.1,ads,B,red,16,1
CUST111372,49,110.64,463,1,1.5,month-to-month,1,2,7.6,ads,B,red,88,0
CUST111373,27,50.82,539,4,0.0,month-to-month,1,4,4.3,partner,B,white,77,0
CUST111374,27,23.25,260,2,3.5,month-to-month,1,3,6.1,ads,A,yellow,41,0
CUST111375,27,25.98,226,8,9.7,month-to-month,1,3,5.4,ads,B,green,3,0
CUST111376,44,30.85,397,0,5.6,month-to-month,0,4,5.9,organic,A,blue,33,0
CUST111377,68,99.16,330,4,0.0,one-year,1,4,4.1,referral,B,red,1,0
CUST111378,51,57.02,356,3,7.6,month-to-month,0,4,5.4,ads,C,black,51,0
CUST111379,37,59.74,606,4,6.8,month-to-month,0,4,4.6,referral,A,blue,46,0
CUST111380,30,65.32,247,3,10.4,month-to-month,1,4,8.0,organic,C,blue,7,0
CUST111381,28,63.8,393,2,3.6,month-to-month,1,1,5.6,referral,C,black,83,1
CUST111382,31,141.86,482,1,4.1,month-to-month,1,3,3.6,ads,C,green,95,1
CUST111383,1,68.37,316,5,7.5,one-year,0,2,3.3,organic,A,green,69,1
CUST111384,50,85.88,553,3,12.7,month-to-month,0,3,8.8,ads,B,red,87,0
CUST111385,30,103.42,615,3,0.5,month-to-month,1,5,6.3,partner,B,black,18,0
CUST111386,34,147.61,396,1,4.8,one-year,1,4,8.1,referral,B,blue,30,0
CUST111387,29,115.67,620,1,0.0,two-year,1,3,6.5,referral,B,white,81,0
CUST111388,53,97.93,437,2,0.7,month-to-month,1,1,7.4,referral,C,white,52,0
CUST111389,32,59.66,284,2,2.8,month-to-month,0,2,4.3,partner,A,black,8,0
CUST111390,43,135.44,531,4,4.5,month-to-month,1,3,5.0,ads,C,black,35,0
CUST111391,22,115.8,285,1,5.9,month-to-month,0,2,5.1,organic,A,black,8,0
CUST111392,34,36.4,259,6,8.2,one-year,0,5,8.6,referral,A,white,94,0
CUST111393,6,113.1,521,2,14.8,month-to-month,0,4,1.6,ads,A,white,94,1
CUST111394,15,26.18,323,2,6.6,month-to-month,1,3,7.0,partner,A,red,91,0
CUST111395,28,129.51,646,6,0.1,month-to-month,0,2,8.9,organic,A,yellow,64,1
CUST111396,42,125.28,202,4,4.2,month-to-month,0,3,6.7,organic,C,green,48,0
CUST111397,34,122.02,548,2,8.9,month-to-month,1,5,7.7,partner,A,green,24,1
CUST111398,58,94.49,402,0,3.7,one-year,0,4,7.8,ads,A,red,2,0
CUST111399,14,37.47,141,3,9.9,month-to-month,0,1,3.6,ads,B,yellow,15,1
