customer_id,tenure_months,monthly_charges,usage_minutes,support_calls,payment_delay_days,contract_type,autopay,num_services,satisfaction_score,signup_channel,marketing_segment,favorite_color,lucky_number,churn
CUST111100,53,32.2,417,6,3.1,one-year,1,2,7.1,ads,B,yellow,23,0
CUST111101,7,125.38,225,6,4.8,month-to-month,0,5,3.4,ads,A,red,64,1
CUST111102,43,75.68,295,4,1.5,one-year,0,2,5.4,ads,B,green,95,0
CUST111103,62,33.6,585,1,5.1,month-to-month,0,2,4.8,referral,A,green,14,1
CUST111104,30,51.35,380,7,0.0,one-year,1,2,8.0,ads,C,white,22,0
CUST111105,1,101.46,518,5,9.0,month-to-month,0,2,6.8,ads,B,black,77,1
CUST111106,48,88.38,251,5,2.6,month-to-month,1,3,5.0,ads,B,red,54,0
CUST111107,12,145.01,553,3,7.7,month-to-month,1,1,5.6,ads,A,blue,93,1
CUST111108,26,83.94,172,1,5.7,one-year,0,5,3.3,ads,A,white,91,0
CUST111109,36,33.57,215,6,14.1,one-year,0,1,3.0,partner,A,white,51,1
CUST111110,37,76.68,225,2,0.0,month-to-month,1,1,6.5,ads,A,green,72,0
CUST111111,72,37.08,454,2,0.0,month-to-month,1,3,7.2,organic,A,black,88,0
CUST111112,39,54.79,451,4,8.2,month-to-month,1,4,7.9,organic,A,red,93,0
CUST111113,22,104.92,305,6,13.4,month-to-month,1,2,6.6,partner,C,blue,11,0
CUST111114,35,121.04,182,1,9.0,month-to-month,1,2,6.2,organic,A,white,1,1
CUST111115,40,78.85,572,0,4.6,month-to-month,0,3,5.4,partner,A,red,19,0
CUST111116,39,140.98,463,1,6.2,month-to-month,1,3,8.4,organic,B,black,55,0
CUST111117,35,87.92,481,2,7.6,month-to-month,0,1,6.9,ads,B,green,77,0
CUST111118,35,41.77,449,1,0.0,one-year,1,5,5.4,referral,A,blue,15,0
CUST111119,52,75.39,231,1,3.5,month-to-month,1,4,6.2,referral,C,red,10,0
CUST111120,20,77.59,377,5,0.0,two-year,0,4,2.1,referral,A,red,20,0
CUST111121,26,56.6,341,5,4.4,month-to-month,1,3,4.1,ads,C,black,37,0
CUST111122,42,83.63,295,4,0.1,month-to-month,1,3,6.9,partner,B,white,74,0
CUST111123,6,104.89,291,3,5.0,month-to-month,1,5,5.1,organic,A,black,79,1
CUST111124,60,105.3,424,2,0.0,month-to-month,0,3,6.6,organic,B,white,55,0
CUST111125,16,29.48,500,1,1.6,two-year,1,4,10.0,referral,C,red,14,0
CUST111126,34,87.69,401,2,3.0,month-to-month,0,3,6.8,ads,C,black,48,0
CUST111127,4,26.53,496,1,5.8,one-year,1,2,3.6,organic,B,yellow,74,0
CUST111128,22,45.67,569,4,10.8,month-to-month,0,1,6.9,partner,A,green,94,1
CUST111129,56,92.02,491,1,0.0,month-to-month,1,2,10.0,organic,C,yellow,99,0
CUST111130,50,87.16,538,5,9.0,month-to-month,1,4,5.2,ads,C,green,94,0
CUST111131,42,125.42,278,1,8.4,month-to-month,1,4,7.6,organic,A,red,21,0
CUST111132,11,71.69,348,4,6.5,two-year,0,2,9.0,ads,A,red,30,0
CUST111133,64,115.0,220,1,0.9,month-to-month,1,2,9.6,organic,B,blue,61,0
CUST111134,35,54.66,371,3,6.5,month-to-month,0,2,4.6,partner,B,green,90,0
CUST111135,21,42.18,120,2,5.1,month-to-month,0,1,4.1,partner,B,red,39,1
CUST111136,33,116.48,503,4,9.8,one-year,0,3,4.1,partner,B,red,54,1
CUST111137,1,65.06,511,4,12.5,month-to-month,0,1,6.8,ads,B,blue,24,1
CUST111138,30,137.96,274,8,6.6,month-to-month,0,5,4.6,ads,C,red,49,1
CUST111139,28,98.73,440,5,8.6,two-year,0,3,4.9,ads,A,white,42,0
CUST111140,40,138.25,527,5,3.4,one-year,0,4,6.6,partner,A,green,23,0
CUST111141,65,110.56,461,0,0.0,one-year,1,4,9.2,referral,B,green,15,0
CUST111142,1,146.22,253,2,11.1,month-to-month,0,2,8.3,organic,B,green,61,1
CUST111143,71,64.34,405,0,9.9,month-to-month,1,3,7.0,referral,A,red,59,0
CUST111144,57,138.43,524,1,0.8,month-to-month,0,3,7.3,organic,B,blue,99,0
CUST111145,24,113.56,236,4,4.8,two-year,1,4,9.9,ads,C,green,30,0
CUST111146,29,57.75,311,5,0.0,month-to-month,0,3,3.2,organic,B,green,13,1
CUST111147,56,32.1,463,8,5.4,month-to-month,0,2,9.4,partner,B,blue,15,0
CUST111148,2,130.73,478,3,5.9,month-to-month,0,1,2.4,ads,B,green,22,1
CUST111149,68,105.2,418,2,9.3,month-to-month,1,3,9.0,ads,A,yellow,62,0
