customer_id,tenure_months,monthly_charges,usage_minutes,support_calls,payment_delay_days,contract_type,autopay,num_services,satisfaction_score,signup_channel,marketing_segment,favorite_color,lucky_number,churn
CUST111500,43,50.87,304,4,0.0,month-to-month,0,2,9.0,organic,C,yellow,9,0
CUST111501,25,109.74,416,2,2.1,month-to-month,0,2,7.3,organic,A,white,59,1
CUST111502,41,24.43,502,3,6.7,two-year,1,1,9.1,referral,A,white,42,0
CUST111503,46,77.02,509,3,4.3,one-year,0,4,10.0,ads,A,black,35,0
CUST111504,72,148.09,446,1,0.0,two-year,0,3,10.0,referral,C,blue,87,0
CUST111505,43,62.35,285,2,10.8,month-to-month,0,2,6.5,organic,B,yellow,82,0
CUST111506,45,97.66,276,1,0.5,two-year,1,4,8.0,ads,A,blue,47,0
CUST111507,58,81.04,526,5,3.7,one-year,0,2,1.0,referral,B,black,65,1
CUST111508,46,135.56,432,0,0.0,month-to-month,1,4,7.0,ads,C,black,77,0
CUST111509,57,26.35,537,2,1.6,month-to-month,1,4,9.8,ads,A,blue,25,0
CUST111510,46,122.12,392,2,0.0,two-year,1,3,9.8,referral,B,green,69,0
CUST111511,62,74.58,414,1,9.5,month-to-month,1,3,5.3,partner,B,yellow,82,0
CUST111512,29,22.49,449,4,1.0,month-to-month,0,3,5.8,ads,A,blue,10,0
CUST111513,21,99.06,583,6,13.3,one-year,0,2,4.1,ads,B,yellow,7,1
CUST111514,33,99.76,524,4,4.9,month-to-month,0,3,7.7,ads,C,green,29,0
CUST111515,57,98.18,316,1,0.0,month-to-month,1,4,10.0,ads,B,red,11,0
CUST111516,50,126.25,437,6,0.0,month-to-month,0,4,7.3,ads,A,red,92,0
CUST111517,58,77.21,515,2,3.1,month-to-month,1,2,6.5,organic,B,blue,59,0
CUST111518,47,102.91,572,1,0.0,one-year,1,3,7.6,partner,B,blue,75,0
CUST111519,58,22.97,774,2,0.0,month-to-month,1,4,8.6,organic,A,green,97,0
CUST111520,65,116.49,304,1,8.0,month-to-month,1,5,5.9,referral,A,red,81,0
CUST111521,1,26.82,512,5,16.2,month-to-month,0,2,1.0,partner,C,yellow,62,1
CUST111522,1,132.74,542,8,3.1,two-year,0,3,5.9,partner,C,green,79,0
CUST111523,19,103.24,494,9,0.0,month-to-month,0,5,7.5,organic,B,green,40,1
CUST111524,32,74.09,442,5,11.2,month-to-month,1,3,6.4,ads,A,blue,7,0
CUST111525,49,107.85,392,3,0.0,month-to-month,1,3,5.9,referral,B,green,34,0
CUST111526,60,48.99,430,3,3.5,one-year,0,5,7.9,ads,B,white,78,0
CUST111527,24,89.96,464,4,4.6,month-to-month,1,3,7.8,referral,A,blue,28,0
CUST111528,37,115.18,464,1,0.2,one-year,1,1,8.0,organic,B,yellow,88,0
CUST111529,7,31.18,567,4,2.9,two-year,0,3,4.9,referral,B,yellow,89,0
CUST111530,1,30.4,440,3,0.0,month-to-month,1,3,4.8,ads,A,green,26,0
CUST111531,31,136.55,486,1,4.6,one-year,1,2,5.5,organic,B,white,80,0
CUST111532,34,130.31,587,4,15.4,one-year,0,5,10.0,partner,A,red,75,0
CUST111533,29,63.82,497,4,4.1,month-to-month,0,1,4.4,partner,A,black,24,0
CUST111534,33,108.72,568,3,0.0,one-year,1,3,8.9,partner,C,black,39,0
CUST111535,41,98.12,416,2,2.9,one-year,1,5,8.2,ads,A,white,63,0
CUST111536,28,113.69,417,0,0.0,month-to-month,1,5,10.0,ads,A,green,87,0
CUST111537,41,60.46,130,3,0.3,month-to-month,1,3,4.4,referral,A,yellow,46,0
CUST111538,33,80.4,471,1,3.0,month-to-month,1,4,4.3,ads,B,white,69,1
CUST111539,72,57.85,280,4,0.0,two-year,1,3,8.5,organic,B,yellow,24,0
CUST111540,34,121.93,337,3,8.0,month-to-month,0,2,9.2,referral,B,black,38,0
CUST111541,47,48.46,594,0,2.3,month-to-month,0,2,10.0,referral,B,black,15,0
CUST111542,30,137.24,571,2,3.6,month-to-month,0,5,5.5,ads,A,black,41,1
CUST111543,25,131.4,456,3,0.0,one-year,1,2,8.8,ads,B,black,97,0
CUST111544,18,116.43,481,5,1.8,two-year,0,3,5.6,ads,B,yellow,99,0
CUST111545,42,146.26,534,0,0.4,two-year,0,2,9.2,ads,A,red,70,0
CUST111546,28,90.27,541,1,4.2,one-year,0,3,7.7,organic,A,yellow,67,0
CUST111547,3,61.15,357,7,14.2,month-to-month,0,3,5.9,partner,A,white,33,1
CUST111548,59,110.73,493,2,2.6,two-year,1,4,5.9,referral,B,yellow,88,0
CUST111549,32,148.47,319,2,5.3,one-year,0,5,2.8,organic,A,green,79,0
